,city,state,postal_code,latitude,longitude,review_count,is_open
11812,St. Louis,MO,63146,38.7005635393,-90.447126,205,1
34784,Tampa,FL,33612,28.0532638009,-82.4370956499,10,1
7152,Saint Louis,MO,63116,38.5930853,-90.270124,54,1
38472,Clearwater,FL,33764,27.9557648237,-82.7589657281,43,1
37433,Tucson,AZ,85719,32.2869749867,-110.9604961084,9,0
19223,St. Petersburg,FL,33713,27.771337,-82.661389,8,0
45713,Wilmington,DE,19805,39.7399201,-75.5983935,12,1
44650,Saint Louis,MO,63141,38.6723741,-90.4576068,27,0
23377,Huntingdon Valley,PA,19006,40.119358,-75.068273,21,1
7824,Willow Grove,PA,19090,40.1716084,-75.1273333,111,1
6532,Indianapolis,IN,46240,39.9132099,-86.1305773,11,1
11416,Nashville,TN,37212,36.1364734357,-86.8018750844,121,1
45187,Kennett Square,PA,19348,39.846602,-75.711786,153,1
12388,Creve Coeur,MO,63141,38.6782532,-90.46545,131,1
22957,Woodbury,NJ,08096,39.8207063,-75.0902469,13,1
41438,Philadelphia,PA,19131,39.9791574,-75.2312813,15,1
37474,Philadelphia,PA,19128,40.039176,-75.223424,40,1
19010,Indianapolis,IN,46214,39.7788388051,-86.2897355359,14,0
28237,Philadelphia,PA,19148,39.9209324,-75.1465573,65,1
21442,Boise,ID,83706,43.605845,-116.21276,52,0
27511,Philadelphia,PA,19147,39.941751,-75.149596,25,0
21517,Indianapolis,IN,46254,39.824382,-86.247657,10,0
35423,Vail,AZ,85641,32.0535292441,-110.6919319065,64,1
25166,Tampa,FL,33607,27.966099,-82.5196792,8,1
1796,Saint Louis,MO,63143,38.612765,-90.318053,186,0
5660,New Orleans,LA,70119,29.978734,-90.1020057,355,1
45738,Edmonton,AB,T5H 4P4,53.5421204,-113.4696156,85,1
6840,Florissant,MO,63033,38.8085928,-90.3011658,100,0
36218,Clearwater,FL,33765,27.960873,-82.7427847,317,1
20502,Redington Shores,FL,33708,27.8235511,-82.8276474,45,0
34320,New Port Richey,FL,34654,28.2827655827,-82.6777127062,73,0
41135,Philadelphia,PA,19104,39.9552303,-75.1823196,9,0
21995,Edmonton,AB,T6C 1Z1,53.532183,-113.46138,40,1
48159,Oreland,PA,19075,40.118704,-75.186947,9,0
35104,Reno,NV,89501,39.5250093,-119.8106432,19,0
20160,Sparks,NV,89431,39.5310149,-119.715874,57,1
24600,Hudson,FL,34669,28.3317108,-82.6644744,8,1
33695,Philadelphia,PA,19149,40.0352619,-75.0817953,14,1
39899,Wilmington,DE,19808,39.7222833,-75.6601976,18,1
29217,Philadelphia,PA,19147,39.9318952885,-75.1462325355,121,0
38825,Spring Hill,FL,34606,28.4352323,-82.6384267,8,0
43426,Reno,NV,89511,39.4149235,-119.7554888,45,0
15414,Riverview,FL,33578,27.8705729,-82.3269992,81,0
45488,LARGO,FL,33771,27.89394,-82.74629,46,1
613,Voorhees,NJ,08043,39.8689418,-74.944448,8,0
11800,Clearwater,FL,33755,27.9655608365,-82.7954417467,31,0
12312,Clearwater Beach,FL,33767,27.9798029,-82.8269718,100,1
50629,Imperial,MO,63052,38.3692483,-90.3796621,32,0
26181,Lumberton,NJ,08048,39.9417090706,-74.8528488725,35,1
48613,Lutz,FL,33548,28.1269692,-82.5008361,66,0
39896,Clearwater,FL,33755,27.9672626,-82.7997273,20,0
13930,Tampa,FL,33637,28.0684559,-82.3750987,34,0
40717,Edmonton,AB,T6C,53.5200445,-113.4552628,6,0
30954,Boise,ID,83702,43.617047,-116.2035868,58,0
45356,Philadelphia,PA,19130,39.9747198867,-75.1833302155,80,0
25196,Reno,NV,89523,39.5340053988,-119.8663824,58,1
29613,Edmonton,AB,T5T,53.5224397,-113.6218712,9,1
37046,Reno,NV,89502,39.5049114504,-119.7733953923,17,1
52078,Nashville,TN,37203,36.1504098915,-86.7954150139,41,0
18861,Temple Terrace,FL,33637,28.0308105,-82.3555534,54,1
41354,Trevose,PA,19053,40.1510577,-74.9754277,7,0
48598,Franklin,TN,37064,35.9283666597,-86.873760107,13,1
1203,Mount Laurel,NJ,08054,39.9787556,-74.8779393,94,1
28484,Media,PA,19063,39.913515,-75.3847536596,26,1
17749,Largo,FL,33773,27.8935692,-82.7304948,24,1
38272,Reno,NV,89502,39.5086310122,-119.8055508,38,0
48414,Brandon,FL,33511,27.891068,-82.27118,13,1
299,Media,PA,19063,39.916169,-75.382347,88,1
4330,Jeffersonville,PA,19403,40.140457,-75.387738,17,0
42794,Reno,NV,89557,39.545898,-119.819372,16,0
25018,Philadelphia,PA,19123,39.9606898585,-75.1546471723,150,0
42012,Nashville,TN,37203,36.1532782,-86.7960217,69,1
41003,Edmonton,AB,T5T 3X1,53.4928401924,-113.6646182793,9,1
19594,Nashville,TN,37204,36.1223838,-86.7753182,542,1
29070,Edmonton,AB,T6J 2S6,53.4721632,-113.539897,13,0
34820,Fishers,IN,46037,39.935604,-85.9481849,50,1
43293,Abington,PA,19001,40.12478,-75.117823,33,1
44659,Sparks,NV,89434,39.531351,-119.72229,73,0
44670,Hockessin,DE,19707,39.7746486,-75.7091291,5,1
