,city,state,postal_code,latitude,longitude,review_count,is_open
7160,National Park,NJ,08063,39.865542,-75.1793216,5,1
32128,Reno,NV,89506,39.6054176,-119.8402347,8,0
28315,Philadelphia,PA,19107,39.95349,-75.156748,314,1
31485,Nashville,TN,37207,36.2305910343,-86.759678313,17,0
33327,Saint Louis,MO,63145,38.7379418171,-90.3564740171,89,1
11475,Newtown,PA,18940,40.228726,-74.9370243,65,1
18505,Tucson,AZ,85712,32.2502320339,-110.8909389384,24,0
38832,Malvern,PA,19355,40.0353969,-75.5167287,152,1
16204,Saint Petersburg,FL,33701,27.773918,-82.622729,41,0
47165,Ewing,NJ,08628,40.2670613,-74.8069491,29,0
16429,Ardmore,PA,19003,40.0093479,-75.2965282,118,0
6744,Philadelphia,PA,19119,40.0599953,-75.1907261,108,1
7601,Indianapolis,IN,46220,39.8690829,-86.1247648,13,1
30254,Tucson,AZ,85756,32.0787726,-110.9268201,22,1
1314,Metairie,LA,70006,30.0045163,-90.1884469,87,1
12149,Philadelphia,PA,19103,39.9496781,-75.1738043,148,1
24436,Tampa,FL,33602,27.96091,-82.46414,152,1
16263,North Wales,PA,19454,40.2254972151,-75.2552022007,58,1
5532,Clementon,NJ,08021,39.8030674131,-75.0372621417,32,0
20741,Boothwyn,PA,19061,39.850615,-75.450294,14,1
37163,New Port Richey,FL,34655,28.2069329,-82.6762468,120,1
3992,Levittown,PA,19054,40.1572450125,-74.8108071466,15,0
36726,Media,PA,19063,39.9160157,-75.3866047,28,1
13512,Land O' Lakes,FL,34638,28.2710813,-82.478984,30,0
33776,Saint Louis,MO,63112,38.6725153,-90.2792824,19,1
20476,Saint Louis,MO,63129,38.4737874,-90.3055779,34,0
6750,Tampa,FL,33616,27.8690642587,-82.5271514431,12,0
48102,Indianapolis,IN,46204,39.7689624,-86.1570946,24,0
41333,Philadelphia,PA,19123,39.9618428098,-75.1592463255,266,0
13573,St. Petersburg,FL,33701,27.7718244,-82.6421406,15,1
30059,University City,MO,63130,38.6601395,-90.3372063,37,1
25672,Nashville,TN,37203,36.1511732,-86.7841441,25,0
37277,Hazelwood,MO,63042,38.782787,-90.3846022,89,1
22917,Reno,NV,89506,39.637071,-119.8439335,379,1
51192,Nashville,TN,37211,36.1177593,-86.7489603,23,0
16045,Santa Barbara,CA,93103,34.4299488,-119.6907914,9,0
45405,Fairview Heights,IL,62208,38.5952137,-89.9809347,16,1
22881,Sharon Hill,PA,19079,39.9098101,-75.2734164,9,0
35350,Goleta,CA,93117,34.4296513,-119.8656721,21,1
19248,Fishers,IN,46038,39.958574,-86.042349,108,1
15969,Philadelphia,PA,19153,39.8912479794,-75.2418897108,56,1
11953,Nashville,TN,37205,36.1013472,-86.8709803,35,1
42774,Aldan,PA,19018,39.9254031,-75.2794021,16,0
47469,Clearwater,FL,33756,27.9510426,-82.7754074,46,0
48413,Kenner,LA,70062,30.0040243,-90.2412136,27,1
