,stars,starsBin
11812,4.0,1
34784,3.5,0
7152,3.0,0
38472,4.5,1
37433,2.0,0
19223,2.5,0
45713,2.0,0
44650,3.0,0
23377,2.5,0
7824,4.0,1
6532,4.5,1
11416,4.0,1
45187,4.5,1
12388,4.0,1
22957,3.0,0
41438,3.0,0
37474,3.0,0
19010,2.0,0
28237,3.5,0
21442,2.5,0
27511,4.0,1
21517,3.5,0
35423,3.5,0
25166,3.0,0
1796,4.0,1
5660,4.0,1
45738,4.0,1
6840,2.5,0
36218,4.5,1
20502,4.5,1
34320,3.5,0
41135,2.0,0
21995,4.0,1
48159,4.0,1
35104,3.0,0
20160,2.0,0
24600,1.5,0
33695,3.5,0
39899,2.5,0
29217,4.0,1
38825,4.5,1
43426,3.5,0
15414,3.5,0
45488,3.0,0
613,4.0,1
11800,4.5,1
12312,3.5,0
50629,4.0,1
26181,3.0,0
48613,4.5,1
39896,4.5,1
13930,4.5,1
40717,4.5,1
30954,4.5,1
45356,3.5,0
25196,1.5,0
29613,1.5,0
37046,2.0,0
52078,3.5,0
18861,4.0,1
41354,3.5,0
48598,4.5,1
1203,3.5,0
28484,5.0,1
17749,4.5,1
38272,4.5,1
48414,4.0,1
299,4.0,1
4330,2.0,0
42794,3.0,0
25018,4.0,1
42012,4.0,1
41003,2.5,0
19594,4.0,1
29070,3.0,0
34820,4.0,1
43293,3.0,0
44659,3.5,0
44670,3.0,0
28413,4.0,1
27716,4.5,1
26408,3.0,0
27775,4.5,1
51520,4.0,1
41884,3.5,0
34834,4.0,1
33183,3.5,0
5689,4.5,1
9266,4.5,1
32891,2.5,0
30840,4.5,1
2585,2.0,0
18140,5.0,1
45735,2.5,0
41001,3.5,0
36199,4.0,1
38866,3.0,0
14914,4.0,1
14151,2.0,0
28240,4.0,1
44758,3.0,0
34679,2.5,0
46425,3.5,0
36635,3.5,0
35548,4.0,1
17292,4.0,1
25333,3.5,0
17992,3.5,0
24833,3.0,0
24387,4.5,1
47686,4.5,1
19643,3.5,0
23654,4.0,1
33539,4.0,1
2699,2.5,0
24903,3.5,0
45913,3.0,0
7779,3.5,0
43377,5.0,1
33894,4.0,1
20303,4.5,1
15779,4.5,1
30433,4.0,1
26487,3.5,0
23921,4.0,1
37147,4.0,1
2889,3.5,0
51934,2.0,0
7729,4.0,1
10028,3.5,0
13781,3.5,0
16005,3.5,0
51707,3.5,0
18830,4.5,1
30356,4.0,1
35105,4.5,1
