,stars,starsBin
7160,3.0,0
32128,3.0,0
28315,3.5,0
31485,2.0,0
33327,2.5,0
11475,4.0,1
18505,2.0,0
38832,4.0,1
16204,2.0,0
47165,3.0,0
16429,4.0,1
6744,3.5,0
7601,3.5,0
30254,1.5,0
1314,2.5,0
12149,4.5,1
24436,4.0,1
16263,3.5,0
5532,2.5,0
20741,2.5,0
37163,4.5,1
3992,2.5,0
36726,3.0,0
13512,4.5,1
33776,2.5,0
20476,3.0,0
6750,4.5,1
48102,3.0,0
41333,4.0,1
13573,4.5,1
30059,3.5,0
25672,3.5,0
37277,4.0,1
22917,4.0,1
51192,4.5,1
16045,2.5,0
45405,3.0,0
22881,4.0,1
35350,4.5,1
19248,4.5,1
15969,3.0,0
11953,3.5,0
42774,4.5,1
47469,4.0,1
48413,4.0,1
26658,4.0,1
41983,4.0,1
47743,4.0,1
45543,4.0,1
12419,4.0,1
49680,4.0,1
43860,4.5,1
8829,3.0,0
24132,2.0,0
43249,2.0,0
28666,3.5,0
15526,4.0,1
4903,2.0,0
16791,3.0,0
27322,4.5,1
13424,4.0,1
27028,4.0,1
24116,4.0,1
20516,4.0,1
1549,4.5,1
16867,4.0,1
46325,3.5,0
37762,4.0,1
40207,1.5,0
4468,2.5,0
10943,3.0,0
37685,1.5,0
28372,4.0,1
44054,5.0,1
30441,3.5,0
46108,2.5,0
32699,2.5,0
32026,4.5,1
23937,4.5,1
14994,3.5,0
26417,3.0,0
51122,4.5,1
45093,4.0,1
14089,3.5,0
29574,2.5,0
25950,5.0,1
3878,4.5,1
9574,4.5,1
51256,2.5,0
8956,3.5,0
11140,2.0,0
36626,3.0,0
27916,3.5,0
21095,3.5,0
5217,3.0,0
19845,3.5,0
25218,4.0,1
11949,4.0,1
4762,1.0,0
47770,4.0,1
36213,2.5,0
33167,3.0,0
41311,3.5,0
40891,3.0,0
6014,2.0,0
45404,4.0,1
9808,3.0,0
39800,2.0,0
8380,4.0,1
20886,3.5,0
9289,1.5,0
39415,4.0,1
35900,3.5,0
31266,2.5,0
43656,3.5,0
29307,4.0,1
6115,3.5,0
5518,2.0,0
4447,4.0,1
43716,5.0,1
18856,4.5,1
14806,3.5,0
30023,2.0,0
4430,3.0,0
16286,1.5,0
3389,4.5,1
22336,4.0,1
7329,2.5,0
51077,3.5,0
17177,3.5,0
21357,3.5,0
5067,3.5,0
22834,3.0,0
47089,2.5,0
30593,4.0,1
3884,4.5,1
25275,2.5,0
16040,2.0,0
47007,3.5,0
18160,4.0,1
20170,3.5,0
49133,3.5,0
46118,5.0,1
29978,3.0,0
31398,3.0,0
22560,2.0,0
39610,3.0,0
47039,3.5,0
50632,4.5,1
33391,3.5,0
14958,4.0,1
49724,4.5,1
51694,4.5,1
45017,4.0,1
35877,4.5,1
31738,4.0,1
28735,2.5,0
27428,2.0,0
23508,4.5,1
20878,3.5,0
16049,4.0,1
50844,4.0,1
9290,3.0,0
45233,3.5,0
34757,4.5,1
30110,3.0,0
41603,3.5,0
14612,2.5,0
2482,4.0,1
7777,3.0,0
36904,2.5,0
48991,3.5,0
13163,5.0,1
29279,5.0,1
28581,4.0,1
10857,4.0,1
24890,4.5,1
28068,3.5,0
9083,2.5,0
33705,1.5,0
23920,2.5,0
35863,4.0,1
2513,3.5,0
30666,4.5,1
27841,1.5,0
47252,4.5,1
10375,3.5,0
41049,4.0,1
15617,1.5,0
29965,2.5,0
40888,4.5,1
1223,4.0,1
16193,1.5,0
15812,3.0,0
27706,3.5,0
16386,1.5,0
18753,2.5,0
9801,4.0,1
41846,3.0,0
24323,3.5,0
9749,2.5,0
45494,3.5,0
30302,4.0,1
33866,3.5,0
16397,2.0,0
19065,3.5,0
5106,4.0,1
41512,3.0,0
3019,3.5,0
34558,4.0,1
42367,2.5,0
45512,4.0,1
7314,3.0,0
2938,4.0,1
6552,4.0,1
36241,4.0,1
12170,3.5,0
51592,3.5,0
23460,3.5,0
19676,2.0,0
23048,4.5,1
21834,1.5,0
27122,2.0,0
19923,4.0,1
35031,3.0,0
